       Step     Time          Energy          fmax
LBFGS:   81 12:30:40       -8.611256      126.020211
LBFGS:   82 12:30:40       -8.471415      167.480550
LBFGS:   83 12:30:40       -7.307455      116.676741
LBFGS:   84 12:30:41       -8.265726      215.205646
LBFGS:   85 12:30:41       -8.103188      211.133453
LBFGS:   86 12:30:41       -9.081486      110.252208
LBFGS:   87 12:30:41       -9.099253      114.503101
LBFGS:   88 12:30:41       -8.929501       83.762680
LBFGS:   89 12:30:41       -8.820759       84.974398
LBFGS:   90 12:30:41       -8.883909       75.107738
LBFGS:   91 12:30:41       -8.918194       79.555533
LBFGS:   92 12:30:41       -8.901621       76.007358
LBFGS:   93 12:30:41       -8.899906       76.198562
LBFGS:   94 12:30:41       -8.893248       75.100830
LBFGS:   95 12:30:41       -8.880863       74.903743
LBFGS:   96 12:30:41       -8.865545       80.498692
LBFGS:   97 12:30:41       -8.769285       89.724418
LBFGS:   98 12:30:41       -8.929169       84.468780
LBFGS:   99 12:30:41       -9.152277      123.227636
LBFGS:  100 12:30:41       -8.819920       87.913764
       Step     Time          Energy          fmax
LBFGS:    0 12:31:45       -3.757688      146.035621
LBFGS:    1 12:31:45       -3.919736       44.818841
LBFGS:    2 12:31:45       -3.961874        5.500900
LBFGS:    3 12:31:45       -3.974394        5.393508
LBFGS:    4 12:31:45       -3.980210        4.489273
LBFGS:    5 12:31:45       -4.020185        2.998488
LBFGS:    6 12:31:45       -3.970965      143.285905
LBFGS:    7 12:31:46       -4.030440        5.134121
LBFGS:    8 12:31:46       -4.039287        5.242925
LBFGS:    9 12:31:46       -3.685969      160.487940
LBFGS:   10 12:31:46       -4.048153        2.236593
LBFGS:   11 12:31:46       -4.052238        2.595257
LBFGS:   12 12:31:46       -4.054331        7.622387
LBFGS:   13 12:31:46       -3.636272      119.907236
LBFGS:   14 12:31:46       -4.024569       72.897000
LBFGS:   15 12:31:46       -3.655935      123.980925
LBFGS:   16 12:31:46       -3.572687      109.809720
LBFGS:   17 12:31:46       -3.662655      125.562019
LBFGS:   18 12:31:46       -3.669836      127.324372
LBFGS:   19 12:31:46       -3.800506      151.033910
LBFGS:   20 12:31:46       -3.965708      110.911934
LBFGS:   21 12:31:46       -4.053803       19.785205
LBFGS:   22 12:31:46       -4.051600       35.736811
LBFGS:   23 12:31:46       -3.975274      107.926040
LBFGS:   24 12:31:46       -3.279573      133.743198
LBFGS:   25 12:31:46       -3.894972      134.802834
LBFGS:   26 12:31:46       -3.837838      148.205834
LBFGS:   27 12:31:46       -2.924571      310.419834
LBFGS:   28 12:31:46        0.373781     1074.232239
LBFGS:   29 12:31:46       -2.865316      334.202733
LBFGS:   30 12:31:46       -1.994693      691.184867
LBFGS:   31 12:31:46       -2.978916      287.128208
LBFGS:   32 12:31:46       -2.990855      282.206329
LBFGS:   33 12:31:46       -3.069520      247.884421
LBFGS:   34 12:31:46       -3.090464      237.764598
LBFGS:   35 12:31:46       -3.127989      217.132606
LBFGS:   36 12:31:46       -3.122119      218.583497
LBFGS:   37 12:31:46       -3.120322      219.932588
LBFGS:   38 12:31:47       -3.145428      203.360702
LBFGS:   39 12:31:47       -3.128538      210.958779
LBFGS:   40 12:31:47       -3.104531      177.191741
LBFGS:   41 12:31:47       -2.903366      293.919681
LBFGS:   42 12:31:47       -2.448829      516.616021
LBFGS:   43 12:31:47       -2.711782      378.823285
LBFGS:   44 12:31:47       -3.066477      114.809375
LBFGS:   45 12:31:47       -0.824747      735.954514
LBFGS:   46 12:31:47        3.749598     1613.053037
LBFGS:   47 12:31:47       13.513639     3443.484121
LBFGS:   48 12:31:47        3.073893     1534.385267
LBFGS:   49 12:31:47       -0.794775      743.812434
LBFGS:   50 12:31:47       -3.288306       56.226253
LBFGS:   51 12:31:47       -1.264589      815.618875
LBFGS:   52 12:31:47        3.383242     1714.401966
LBFGS:   53 12:31:47       13.569639     3592.738403
LBFGS:   54 12:31:47       34.295975     6471.922629
LBFGS:   55 12:31:47       13.289513     3554.843714
LBFGS:   56 12:31:47       34.403469     6474.780623
LBFGS:   57 12:31:47       13.425650     3573.246305
LBFGS:   58 12:31:47       17.830517     4269.507853
LBFGS:   59 12:31:47        6.390877     2318.185365
LBFGS:   60 12:31:47        1.382710     1226.016464
LBFGS:   61 12:31:47        3.498753     1757.831777
LBFGS:   62 12:31:47       11.670145     3324.155137
LBFGS:   63 12:31:47       28.462029     6018.139139
LBFGS:   64 12:31:47       59.041542     9691.116928
LBFGS:   65 12:31:47       28.269562     5991.056522
LBFGS:   66 12:31:47       11.580137     3298.890903
LBFGS:   67 12:31:47        3.484598     1757.884593
LBFGS:   68 12:31:48       11.608608     3304.306074
LBFGS:   69 12:31:48        3.443491     1751.305398
LBFGS:   70 12:31:48       -0.725891      886.432948
LBFGS:   71 12:31:48        2.813807     1462.302358
LBFGS:   72 12:31:48        4.195816     1858.289847
LBFGS:   73 12:31:48       11.877195     3360.779580
LBFGS:   74 12:31:48       28.322605     5999.235431
LBFGS:   75 12:31:48       55.625137     9162.042811
LBFGS:   76 12:31:48      137.313782    16158.307810
LBFGS:   77 12:31:48       81.421509    12288.250246
LBFGS:   78 12:31:48       72.527321    11245.015823
LBFGS:   79 12:31:48       76.935059    11810.723517
LBFGS:   80 12:31:48      118.296349    14004.278761
LBFGS:   81 12:31:48       95.905731    13433.902240
LBFGS:   82 12:31:48       64.253029    10492.581460
LBFGS:   83 12:31:48       78.478691    11955.254153
LBFGS:   84 12:31:48       78.727089    11954.185501
LBFGS:   85 12:31:48       84.668076    12632.899749
LBFGS:   86 12:31:48       97.450462    13789.514594
LBFGS:   87 12:31:48      116.728844    14648.890205
LBFGS:   88 12:31:48       89.779678    13081.005787
LBFGS:   89 12:31:48      132.964996    15832.298882
LBFGS:   90 12:31:48      183.999908    16522.406839
LBFGS:   91 12:31:48      145.533020    16948.164696
